Disease_Name,Specialty,Description,Symptoms
Hashimoto Thyroiditis,Endocrinology,"Autoimmune destruction of the thyroid gland resulting in hypothyroidism.","Enlarged Goiter; Lethargy; Puffy Face; Hoarse Voice; Muscle Weakness"
Cushings Syndrome,Endocrinology,"Hypercortisolemia leading to central adiposity striae and proximal weakness.","Moon Facies; Buffalo Hump; Purple Abdominal Striae; Central Obesity; Hypertension"
Addisons Disease,Endocrinology,"Primary adrenal insufficiency causing deficient cortisol and aldosterone.","Skin Hyperpigmentation; Chronic Fatigue; Orthostatic Hypotension; Salt Craving; Nausea"
Primary Hyperparathyroidism,Endocrinology,"Overproduction of parathyroid hormone resulting in hypercalcemia.","Bone Pain; Nephrolithiasis; Abdominal Groans; Psychic Moans; Muscle Weakness"
Hypoparathyroidism,Endocrinology,"Deficient parathyroid hormone causing hypocalcemia and neuromuscular irritability.","Tetany; Chvostek Sign; Trousseau Sign; Perioral Numbness; Muscle Cramps"
Acromegaly,Endocrinology,"Excess growth hormone secretion in adults leading to acral and soft tissue overgrowth.","Enlarged Hands and Feet; Coarsened Facial Features; Mandibular Prognathism; Joint Pain; Deepening Voice"
Prolactinoma,Endocrinology,"Benign prolactin-secreting pituitary adenoma.","Galactorrhea; Amenorrhea; Erectile Dysfunction; Bitemporal Hemianopsia; Infertility"
Pheochromocytoma,Endocrinology,"Catecholamine-producing neuroendocrine tumor of adrenal medulla.","Paroxysmal Hypertension; Pounding Headache; Profuse Diaphoresis; Palpitations; Tremor"
Polycystic Ovary Syndrome,Endocrinology,"Endocrine condition marked by hyperandrogenism ovulatory dysfunction and cysts.","Irregular Menstrual Cycles; Hirsutism; Acne; Weight Gain; Ovarian Cysts"
Gestational Diabetes,Endocrinology,"Glucose intolerance recognized during pregnancy.","Excessive Thirst; Frequent Urination; Recurrent Vaginal Infections; Fatigue; Macrosomia"
Gastroesophageal Reflux Disease,Gastroenterology,"Chronic mucosal damage caused by stomach acid backflow into the esophagus.","Heartburn; Acid Regurgitation; Dysphagia; Chronic Cough; Globus Sensation"
Peptic Ulcer Disease,Gastroenterology,"Mucosal ulceration in stomach or duodenum often linked to H pylori or NSAIDs.","Epigastric Pain; Nausea; Vomiting; Melena; Early Satiety"
Crohns Disease,Gastroenterology,"Transmural inflammatory bowel disease affecting any part of gastrointestinal tract.","Chronic Diarrhea; Abdominal Cramping; Weight Loss; Fistulas; Fatigue"
Ulcerative Colitis,Gastroenterology,"Chronic mucosal inflammation limited to colon and rectum with superficial ulceration.","Bloody Diarrhea; Tenesmus; Abdominal Pain; Fecal Urgency; Rectal Bleeding"
Irritable Bowel Syndrome,Gastroenterology,"Functional gastrointestinal disorder with abdominal discomfort and altered bowel habits.","Abdominal Cramping; Bloating; Alternating Constipation and Diarrhea; Mucus in Stool; Gas"
Celiac Disease,Gastroenterology,"Autoimmune reaction to dietary gluten leading to small bowel villous atrophy.","Malabsorption Diarrhea; Steatorrhea; Weight Loss; Abdominal Distension; Iron Deficiency Anemia"
Non-Alcoholic Fatty Liver Disease,Gastroenterology,"Hepatic steatosis in individuals without excessive alcohol consumption.","Right Upper Quadrant Discomfort; Hepatomegaly; Fatigue; Elevated Liver Enzymes; Malaise"
Cirrhosis,Gastroenterology,"End-stage liver fibrosis with architectural distortion and regenerative nodules.","Jaundice; Ascites; Spider Angiomas; Splenomegaly; Hepatic Encephalopathy"
Acute Pancreatitis,Gastroenterology,"Sudden inflammatory destruction of pancreatic parenchyma.","Severe Epigastric Pain Radiating to Back; Nausea and Vomiting; Abdominal Guarding; Elevated Serum Lipase; Tachycardia"
Chronic Pancreatitis,Gastroenterology,"Progressive fibro-inflammatory disease leading to endocrine exocrine insufficiency.","Chronic Epigastric Pain; Steatorrhea; Malnutrition; Diabetes Mellitus; Weight Loss"
Gallstones,Gastroenterology,"Concretions within the gallbladder lumen causing biliary colic.","Biliary Colic; Right Upper Quadrant Pain; Nausea After Fatty Meals; Vomiting; Indigestion"
Acute Cholecystitis,Gastroenterology,"Acute gallbladder inflammation typically resulting from cystic duct obstruction.","Murphy Sign Positive; Fever; Severe RUQ Tenderness; Leukocytosis; Nausea"
Clostridioides Difficile Colitis,Gastroenterology,"Toxin-mediated bacterial colitis often following antibiotic therapy.","Profuse Watery Diarrhea; Fever; Abdominal Cramps; Leukocytosis; Dehydration"
Gastric Cancer,Gastroenterology,"Malignancy arising from the mucosal epithelium of the stomach.","Persistent Dyspepsia; Unexplained Weight Loss; Early Satiety; Hematemesis; Melena"
Esophageal Achalasia,Gastroenterology,"Failure of lower esophageal sphincter relaxation and absence of peristalsis.","Progressive Dysphagia; Regurgitation of Undigested Food; Retrosternal Chest Pain; Weight Loss; Nocturnal Cough"
Ischemic Stroke,Neurology,"Cerebral infarction due to focal vascular occlusion.","Sudden Hemiplegia; Facial Droop; Dysarthria; Aphasia; Visual Field Deficit"
Hemorrhagic Stroke,Neurology,"Intracerebral or subarachnoid bleeding causing sudden neurological deficits.","Thunderclap Headache; Altered Consciousness; Nuchal Rigidity; Vomiting; Hemiparesis"
Parkinsons Disease,Neurology,"Neurodegenerative disorder with loss of dopaminergic neurons in substantia nigra.","Resting Pill-Rolling Tremor; Cogwheel Rigidity; Bradykinesia; Postural Instability; Shuffling Gait"
Alzheimers Disease,Neurology,"Progressive dementia marked by amyloid plaques and neurofibrillary tangles.","Short-term Memory Loss; Disorientation; Agnosia; Apraxia; Behavioral Changes"
Multiple Sclerosis,Neurology,"Autoimmune demyelinating disease of the central nervous system.","Optic Neuritis; Lhermitte Sign; Limb Weakness; Paresthesias; Ataxia"
Epilepsy,Neurology,"Neurological disorder characterized by recurrent unprovoked seizures.","Generalized Tonic-Clonic Seizures; Absence Spells; Aura; Postictal Confusion; Tongue Biting"
Migraine,Neurology,"Primary headache disorder with throbbing unilateral cephalalgia and sensory sensitivity.","Unilateral Throbbing Headache; Photophobia; Phonophobia; Nausea; Visual Aura"
Cluster Headache,Neurology,"Severe unilateral trigeminal autonomic cephalalgia with periorbital pain.","Severe Periorbital Pain; Ipsilateral Lacrimation; Nasal Congestion; Ptosis; Restlessness"
Myasthenia Gravis,Neurology,"Autoimmune attack on postsynaptic acetylcholine receptors at neuromuscular junction.","Fluctuating Ptosis; Diplopia; Bulbar Weakness; Proximal Muscle Fatigue; Dysphonia"
Amyotrophic Lateral Sclerosis,Neurology,"Degeneration of upper and lower motor neurons causing progressive paralysis.","Muscle Fasciculations; Progressive Muscle Atrophy; Dysphagia; Spasticity; Respiratory Decline"
Guillain-Barre Syndrome,Neurology,"Acute inflammatory demyelinating polyneuropathy with ascending paralysis.","Ascending Muscle Weakness; Areflexia; Distal Paresthesias; Autonomic Instability; Respiratory Compromise"
Bell Palsy,Neurology,"Acute peripheral facial nerve palsy resulting in unilateral facial muscle paralysis.","Unilateral Facial Sagging; Inability to Close Eye; Loss of Forehead Furrows; Hyperacusis; Loss of Taste on Anterior Tongue"
Normal Pressure Hydrocephalus,Neurology,"Cerebrospinal fluid accumulation causing gait disturbance dementia and incontinence.","Magnetic Gait; Urinary Incontinence; Cognitive Decline; Lethargy; Frequent Falls"
Trigeminal Neuralgia,Neurology,"Lancinating shock-like facial pain in the sensory distribution of fifth cranial nerve.","Electric Shock Facial Pain; Trigger Zone Sensitivity; Unilateral Facial Spasm; Pain During Chewing; Dental Sensitivity"
Essential Tremor,Neurology,"Action postural tremor typically affecting upper limbs and head.","Action Hand Tremor; Postural Tremor; Head Nodding; Voice Tremor; Improvement with Alcohol"
Glioblastoma,Neurosurgery,"Highly aggressive malignant grade IV astrocytoma of the brain.","Severe Morning Headache; Seizures; Progressive Focal Neurological Deficit; Personality Changes; Papilledema"
Meningioma,Neurosurgery,"Slow-growing usually benign tumor originating from arachnoid cap cells.","Localized Headache; Focal Seizures; Visual Field Deficit; Anosmia; Limb Weakness"
Cerebral Aneurysm,Neurosurgery,"Abnormal focal outpouching of cerebral vasculature risking subarachnoid hemorrhage.","Sentinel Headache; Cranial Nerve III Palsy; Diplopia; Neck Stiffness; Sudden Coma"
Subdural Hematoma,Neurosurgery,"Collection of blood between the dura and arachnoid mater.","Fluctuating Level of Consciousness; Headache; Contralateral Hemiparesis; Confusion in Elderly; Ipsilateral Pupillary Dilation"
Epidural Hematoma,Neurosurgery,"Arterial bleed between inner skull table and dura mater with lucid interval.","Lucid Interval; Rapid Neurological Deterioration; Fixed Dilated Pupil; Severe Headache; Post-trauma Vomiting"
Lumbar Disc Herniation,Neurosurgery,"Herniation of nucleus pulposus causing lumbar radiculopathy.","Sciatica Pain Radiating to Leg; Positive Straight Leg Raise; Foot Drop; Lumbosacral Tenderness; Lower Limb Numbness"
Cervical Spondylotic Myelopathy,Neurosurgery,"Compression of cervical spinal cord by degenerative disc osteophytes.","Clumsy Hands; Gait Ataxia; Hyperreflexia; Positive Babinski Sign; Neck Pain"
Spinal Stenosis,Neurosurgery,"Narrowing of the spinal canal causing neurogenic claudication.","Neurogenic Claudication; Relief on Forward Bending; Bilateral Leg Pain; Lower Extremity Paresthesias; Heaviness in Legs"
Hydrocephalus,Neurosurgery,"Accumulation of excess cerebrospinal fluid within cerebral ventricles.","Sun-setting Eyes; Enlarged Head Circumference in Infants; Bulging Fontanelle; Vomiting; Lethargy"
Chiari Malformation,Neurosurgery,"Herniation of cerebellar tonsils through foramen magnum into cervical canal.","Occipital Headache Exacerbated by Cough; Downbeat Nystagmus; Limb Ataxia; Syringomyelia; Swallowing Difficulties"
Bronchial Asthma,Pulmonology (Respiratory Medicine),"Chronic inflammatory disorder with airway hyperresponsiveness and variable airflow obstruction.","Wheezing; Shortness of Breath; Chest Tightness; Nocturnal Cough; Tachypnea"
Chronic Obstructive Pulmonary Disease,Pulmonology (Respiratory Medicine),"Persistent airflow limitation due to chronic bronchitis and emphysema.","Chronic Productive Cough; Progressive Dyspnea; Barrel Chest; Pursed-Lip Breathing; Hypoxemia"
Community-Acquired Pneumonia,Pulmonology (Respiratory Medicine),"Acute infection of pulmonary parenchyma presenting with consolidation.","Fever and Rigors; Productive Cough with Purulent Sputum; Pleuritic Chest Pain; Crepitations on Auscultation; Shortness of Breath"
Pulmonary Tuberculosis,Pulmonology (Respiratory Medicine),"Mycobacterium tuberculosis infection primarily targeting the lungs.","Chronic Cough Exceeding 2 Weeks; Hemoptysis; Drenching Night Sweats; Weight Loss; Low-Grade Evening Fever"
Bronchiectasis,Pulmonology (Respiratory Medicine),"Permanent abnormal dilation of bronchi with chronic purulent sputum clearance impairment.","Copious Foul-smelling Sputum; Chronic Cough; Recurrent Chest Infections; Digital Clubbing; Hemoptysis"
Idiopathic Pulmonary Fibrosis,Pulmonology (Respiratory Medicine),"Chronic progressive fibrosing interstitial pneumonia causing restrictive lung defect.","Progressive Exertional Dyspnea; Dry Persistent Cough; Velcro Crepitations; Clubbing of Fingers; Fatigue"
Obstructive Sleep Apnea,Pulmonology (Respiratory Medicine),"Repetitive upper airway collapse during sleep resulting in intermittent hypoxia.","Loud Habitual Snoring; Witnessed Apneic Episodes; Excessive Daytime Sleepiness; Morning Headache; Concentration Difficulties"
Pleural Effusion,Pulmonology (Respiratory Medicine),"Excess fluid accumulation in the pleural space between parietal and visceral pleura.","Dullness to Percussion; Decreased Breath Sounds; Pleuritic Chest Pain; Dyspnea; Dry Cough"
Pneumothorax,Pulmonology (Respiratory Medicine),"Air in pleural cavity leading to lung collapse.","Sudden Unilateral Pleuritic Chest Pain; Hyperresonance to Percussion; Diminished Breath Sounds; Sudden Dyspnea; Subcutaneous Emphysema"
Sarcoidosis,Pulmonology (Respiratory Medicine),"Multisystem granulomatous disorder featuring non-caseating granulomas and hilar adenopathy.","Bilateral Hilar Lymphadenopathy; Erythema Nodosum; Dry Cough; Fatigue; Anterior Uveitis"
Bronchogenic Carcinoma,Pulmonology (Respiratory Medicine),"Primary lung malignancy stemming from bronchial epithelium.","New or Changing Cough; Hemoptysis; Unexplained Weight Loss; Chest Wall Pain; Hoarseness"
Chronic Kidney Disease,Nephrology,"Longstanding progressive loss of renal function and glomerular filtration.","Oliguria; Peripheral Edema; Fatigue and Weakness; Uremic Pruritus; Nausea"
End-Stage Renal Disease,Nephrology,"Terminal stage of CKD requiring renal replacement therapy.","Anuria; Refractory Fluid Overload; Uremic Encephalopathy; Metabolic Acidosis; Severe Anemia"
Acute Kidney Injury,Nephrology,"Abrupt reduction in renal function with azotemia and fluid imbalance.","Rapid Rise in Serum Creatinine; Decreased Urine Output; Fluid Retention; Confusion; Chest Pressure"
Nephrotic Syndrome,Nephrology,"Glomerular disease marked by heavy proteinuria hypoalbuminemia and generalized edema.","Massive Proteinuria; Severe Generalized Edema; Periorbital Puffiness; Frothy Urine; Hyperlipidemia"
Nephritic Syndrome,Nephrology,"Inflammatory glomerular syndrome causing hematuria hypertension and mild proteinuria.","Gross Hematuria (Cola-colored Urine); Hypertension; Facial Puffiness; Oliguria; Mild Proteinuria"
Polycystic Kidney Disease,Nephrology,"Genetic disorder marked by progressive bilateral renal cysts and enlargement.","Flank Pain; Palpable Abdominal Masses; Hypertension; Recurrent Hematuria; Urinary Tract Infections"
Diabetic Nephropathy,Nephrology,"Microvascular complication of diabetes causing nodular glomerulosclerosis.","Microalbuminuria; Progressive Hypertension; Leg Edema; Declining eGFR; Fatigue"
Lupus Nephritis,Nephrology,"Autoimmune renal inflammation complicating Systemic Lupus Erythematosus.","Proteinuria; Cellular Urinary Casts; Malar Rash; Arthralgia; Elevated Blood Pressure"
IgA Nephropathy,Nephrology,"Immune-complex glomerulonephritis with mesangial IgA deposition.","Episodic Visible Hematuria Post-URTI; Loin Pain; Mild Hypertension; Microscopic Hematuria; Proteinuria"
Renal Tubular Acidosis,Nephrology,"Tubular dysfunction preventing normal urinary acidification causing metabolic acidosis.","Hypokalemic Muscle Weakness; Nephrocalcinosis; Polyuria; Bone Rickets/Osteomalacia; Growth Retardation"
Benign Prostatic Hyperplasia,Urology,"Non-malignant enlargement of the prostate transition zone obstructing bladder outlet.","Urinary Hesitancy; Weak Urinary Stream; Nocturia; Terminal Dribbling; Incomplete Bladder Emptying"
Prostate Cancer,Urology,"Malignancy arising from prostate glandular epithelium.","Elevated PSA; Difficulty Urinating; Pelvic Discomfort; Bone Pain in Metastasis; Hematuria"
Urolithiasis,Urology,"Calculi in urinary tract causing severe flank colic.","Severe Loin-to-Groin Colic Pain; Gross Hematuria; Nausea and Vomiting; Dysuria; Urinary Urgency"
Bladder Cancer,Urology,"Urothelial carcinoma of the urinary bladder.","Painless Visible Hematuria; Frequent Urination; Dysuria; Pelvic Pain; Urinary Urgency"
Erectile Dysfunction,Urology,"Inability to achieve or maintain penile erection satisfactory for sexual intercourse.","Inability to Maintain Erection; Reduced Sexual Desire; Performance Anxiety; Premature Detumescence; Psychological Distress"
Varicocele,Urology,"Abnormal dilation of pampiniform venous plexus in the spermatic cord.","Scrotal Heaviness; Bag of Worms Sensation; Testicular Atrophy; Subfertility; Scrotal Dull Ache"
Testicular Torsion,Urology,"Twisting of spermatic cord compromising testicular blood supply.","Sudden Severe Testicular Pain; High-riding Horizontal Testis; Scrotal Swelling; Absent Cremasteric Reflex; Nausea and Vomiting"
Hydrocele,Urology,"Fluid accumulation between layers of tunica vaginalis testis.","Painless Scrotal Enlargement; Transilluminating Scrotal Mass; Heaviness in Scrotum; Difficulty Walking in Large Cases; Skin Stretching"
Urethral Stricture,Urology,"Narrowing of the urethral lumen due to scarring.","Straining to Urinate; Spraying of Urinary Stream; Recurrent UTIs; Reduced Flow Rate; Urinary Retention"
Overactive Bladder,Urology,"Syndrome of urinary urgency with or without urgency incontinence.","Sudden Intense Urge to Urinate; Urgency Incontinence; Urinary Frequency; Nocturia; Disrupted Sleep"
Rheumatoid Arthritis,Rheumatology,"Chronic autoimmune symmetric polyarthritis targeting synovial joints.","Symmetric Joint Swelling; Morning Joint Stiffness Exceeding 1 Hour; Pain in MCP and PIP Joints; Rheumatoid Nodules; Joint Deformity"
Osteoarthritis,Rheumatology,"Degenerative joint disease involving cartilage breakdown and osteophyte formation.","Joint Pain Worsened by Activity; Crepitus on Joint Movement; Morning Stiffness Under 30 Minutes; Heberden Nodes; Bouchard Nodes"
Systemic Lupus Erythematosus,Rheumatology,"Multisystem autoimmune disease with antinuclear antibodies and immune deposition.","Malar Butterfly Rash; Photosensitivity; Polyarthralgia; Oral Ulcers; Lupus Nephritis"
Ankylosing Spondylitis,Rheumatology,"Chronic inflammatory arthritis primarily affecting axial skeleton and sacroiliac joints.","Inflammatory Lower Back Pain; Morning Stiffness Improving with Exercise; Sacroiliac Tenderness; Bamboo Spine on Xray; Anterior Uveitis"
Gout,Rheumatology,"Monosodium urate crystal deposition disease causing acute monoarthritis.","Severe First MTP Joint Pain (Podagra); Erythematous Swollen Joint; Tophaceous Deposits; Exquisite Tenderness to Touch; Hyperuricemia"
Pseudogout,Rheumatology,"Calcium pyrophosphate dihydrate crystal deposition causing acute arthropathy.","Acute Knee Swelling; Chondrocalcinosis; Joint Warmth; Restricted Motion; Synovial Inflammation"
Sjogren Syndrome,Rheumatology,"Autoimmune destruction of exocrine lacrimal and salivary glands.","Keratoconjunctivitis Sicca (Dry Eyes); Xerostomia (Dry Mouth); Salivary Gland Swelling; Fatigue; Dental Cavities"
Systemic Sclerosis,Rheumatology,"Autoimmune disease characterized by microvascular damage and tissue fibrosis.","Raynaud Phenomenon; Sclerodactyly; Telangiectasia; Esophageal Dysmotility; Microstomia"
Polymyalgia Rheumatica,Rheumatology,"Inflammatory disorder causing severe aching and stiffness in neck shoulders and hips.","Bilateral Shoulder Stiffness; Pelvic Girdle Aching; High ESR/CRP; Morning Difficulty Rising; Low-Grade Fever"
Fibromyalgia,Rheumatology,"Chronic widespread musculoskeletal pain syndrome with central sensitization.","Widespread Chronic Musculoskeletal Pain; Multiple Tender Points; Sleep Disturbances; Cognitive Fog; Chronic Fatigue"
Anterior Cruciate Ligament Tear,Orthopaedic Surgery,"Rupture of anterior cruciate ligament of the knee typically in pivoting injuries.","Audible Pop at Injury; Rapid Knee Joint Effusion; Knee Instability (Giving Way); Severe Knee Pain; Inability to Bear Weight"
Meniscal Tear,Orthopaedic Surgery,"Disruption of fibrocartilaginous meniscus in the knee joint.","Joint Line Tenderness; Knee Locking or Catching; Delayed Knee Swelling; Pain on Squatting; Positive McMurray Test"
Rotator Cuff Tear,Orthopaedic Surgery,"Tear of tendons forming rotator cuff in shoulder joint.","Anterior-Lateral Shoulder Pain; Weakness on Shoulder Abduction; Night Pain When Lying on Shoulder; Inability to Lift Arm; Crepitus on Shoulder Motion"
Carpal Tunnel Syndrome,Orthopaedic Surgery,"Median nerve entrapment under transverse carpal ligament.","Thenar Muscle Wasting; Nocturnal Hand Paresthesias; Positive Tinel Sign; Positive Phalen Test; Thumb Index Middle Finger Numbness"
Frozen Shoulder,Orthopaedic Surgery,"Fibrotic contracture of glenohumeral joint capsule.","Severe Shoulder Stiffness; Global Loss of Shoulder Passive Range of Motion; Dull Aching Shoulder Pain; Sleep Disruption; Difficulty Dressing"
Plantar Fasciitis,Orthopaedic Surgery,"Inflammation degeneration of the plantar fascia at calcaneal origin.","Severe Heel Pain on First Morning Steps; Pain Decreasing with Ambulation; Inferior Calcaneal Tenderness; Post-rest Stiffness; Pain After Prolonged Standing"
Achilles Tendon Rupture,Orthopaedic Surgery,"Complete tear of the Achilles tendon above calcaneal insertion.","Sudden Snap Behind Ankle; Positive Thompson Test; Palpable Gap in Tendon; Inability to Plantar Flex; Immediate Limping"
Femoral Neck Fracture,Orthopaedic Surgery,"Intracapsular fracture of proximal femur common in osteoporotic elderly.","Shortened and Externally Rotated Lower Limb; Severe Hip Groin Pain; Total Inability to Weight Bear; Hip Pain on Passive Motion; Ecchymosis"
Scoliosis,Orthopaedic Surgery,"Lateral curvature of the spine exceeding 10 degrees Cobb angle.","Uneven Shoulder Heights; Asymmetrical Waistline; Prominent Rib Hump on Forward Bend; Back Fatigue; Spinal Deformity"
Trigger Finger,Orthopaedic Surgery,"Inflammation of flexor tendon sheath causing finger locking.","Finger Snapping or Locking; Painful Nodule at Base of Finger; Finger Morning Stiffness; Palpable Tendon Clicking; Inability to Straighten Digit"
Dengue Fever,Infectious Diseases,"Mosquito-borne flavivirus infection prevalent across Sri Lanka.","High Continuous Fever; Severe Retro-orbital Headache; Breakbone Myalgia and Arthralgia; Petechial Skin Rash; Thrombocytopenia"
Dengue Hemorrhagic Fever,Infectious Diseases,"Severe manifestation of dengue virus featuring plasma leakage and coagulopathy.","Plasma Leakage; Severe Thrombocytopenia; Spontaneous Mucosal Bleeding; Hemoconcentration; Restlessness and Abdominal Pain"
Leptospirosis,Infectious Diseases,"Zoonotic spirochete infection common in paddy cultivators and flood-exposed Sri Lankans.","Conjunctival Suffusion; Severe Calf Muscle Tenderness; Biphasic High Fever; Jaundice; Oliguria"
Malaria,Infectious Diseases,"Protozoan parasitic infection transmitted by Anopheles mosquitoes.","Paroxysmal Shivering Chills; High Spiking Fever; Profuse Diaphoresis; Splenomegaly; Hemolytic Anemia"
Typhoid Fever,Infectious Diseases,"Salmonella enterica serotype Typhi systemic infection.","Step-ladder Rising Fever; Rose Spots on Trunk; Relative Bradycardia; Pea-soup Diarrhea; Hepatosplenomegaly"
