Doctor_SLMC_ID,Channeling_Center_Name,Consultation_Fee,Available_Days,Available_Time
9560,Lanka Hospitals,3200.00,"Monday, Thursday",05:00 PM - 08:00 PM
9560,Nawaloka Hospital Colombo,3200.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
12890,Asiri Surgical Hospital,4000.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
12890,Lanka Hospitals,4000.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
8450,Asiri Central Hospital,4500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
8450,Nawaloka Hospital Colombo,4500.00,"Tuesday, Thursday",04:30 PM - 07:30 PM
17600,Asiri Surgical Hospital,3500.00,"Tuesday, Friday",05:30 PM - 08:30 PM
17600,Kings Hospital Colombo,3500.00,"Monday, Thursday",06:00 PM - 09:00 PM
15470,Lanka Hospitals,3500.00,"Wednesday, Friday",05:00 PM - 08:00 PM
15470,Durdans Hospital,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
10230,Asiri Hospital Kandy,3200.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
10230,Suwasevana Hospital Kandy,3200.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
9120,Ceymed Healthcare Services Nugegoda,3000.00,"Monday, Wednesday",05:30 PM - 08:30 PM
9120,Ninewells Hospital,3500.00,"Tuesday, Thursday, Saturday",04:00 PM - 07:00 PM
11450,Ninewells Hospital,3200.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
11450,Ceymed Healthcare Services Nugegoda,2800.00,"Tuesday, Thursday",06:00 PM - 08:30 PM
8340,Durdans Hospital,3500.00,"Monday, Wednesday",04:30 PM - 07:30 PM
8340,Ninewells Hospital,3500.00,"Tuesday, Friday",05:00 PM - 08:00 PM
8340,Lanka Hospitals,3500.00,Saturday,09:00 AM - 01:00 PM
14890,Ninewells Hospital,4000.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
14890,Asiri Surgical Hospital,4000.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
14890,Kings Hospital Colombo,3800.00,Saturday,09:00 AM - 12:00 PM
12670,Joseph Fraser Ninewells Hospital,3800.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
12670,Nawaloka Hospital Colombo,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
14120,Asiri Medical Hospital,3200.00,"Monday, Thursday",05:00 PM - 08:00 PM
14120,Lanka Hospitals,3500.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
13560,Asiri Medical Hospital,3200.00,"Tuesday, Friday",05:00 PM - 08:00 PM
13560,Nawaloka Hospital Colombo,3200.00,"Monday, Thursday",05:30 PM - 08:30 PM
11780,Asiri Central Hospital,3800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
11780,Lanka Hospitals,3800.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
11780,Ceymed Healthcare Services Nugegoda,3000.00,Saturday,09:00 AM - 12:00 PM
16340,Durdans Hospital,3200.00,"Monday, Wednesday",05:00 PM - 08:00 PM
16340,Kings Hospital Colombo,3200.00,"Tuesday, Friday",05:30 PM - 08:30 PM
15230,Asiri Surgical Hospital,3800.00,"Monday, Thursday",05:00 PM - 08:00 PM
15230,Lanka Hospitals,3800.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
13780,Golden Key Eye and ENT Hospital,2800.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
13780,Asiri Central Hospital,3000.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
12560,Golden Key Eye and ENT Hospital,2800.00,"Tuesday, Thursday, Saturday",04:30 PM - 07:30 PM
12560,Lanka Hospitals,3000.00,"Monday, Friday",05:30 PM - 08:30 PM
10340,Durdans Hospital,3000.00,"Monday, Wednesday",05:00 PM - 08:00 PM
10340,Nawaloka Hospital Colombo,3000.00,"Thursday, Saturday",05:30 PM - 08:30 PM
8920,Golden Key Eye and ENT Hospital,3200.00,"Monday, Wednesday, Friday",03:30 PM - 06:30 PM
8920,Kings Hospital Colombo,3200.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
11650,Asiri Hospital Kandy,2500.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
11650,Suwasevana Hospital Kandy,2500.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
14780,Asiri Surgical Hospital,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
14780,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
14780,Kings Hospital Colombo,3200.00,Saturday,09:00 AM - 12:00 PM
13900,Asiri Medical Hospital,3000.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
13900,Nawaloka Hospital Colombo,3000.00,"Monday, Friday",05:30 PM - 08:30 PM
16890,Asiri Medical Hospital,2800.00,"Monday, Wednesday",06:00 PM - 08:30 PM
16890,Durdans Hospital,3000.00,"Thursday, Saturday",05:00 PM - 08:00 PM
12450,Asiri Hospital Kandy,2800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
12450,Suwasevana Hospital Kandy,2800.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
18340,Hemas Hospital Thalawathugoda,2600.00,"Monday, Thursday",06:00 PM - 09:00 PM
18340,Nawaloka Hospital Colombo,2800.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
15640,Ceymed Healthcare Services Nugegoda,2600.00,"Monday, Wednesday",05:30 PM - 08:30 PM
15640,Lanka Hospitals,3000.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
15640,Golden Key Eye and ENT Hospital,2800.00,Saturday,09:00 AM - 12:00 PM
9430,Golden Key Eye and ENT Hospital,3200.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
9430,Asiri Central Hospital,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
11210,Durdans Hospital,3000.00,"Monday, Thursday",05:00 PM - 08:00 PM
11210,Nawaloka Hospital Colombo,3000.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
10540,Asiri Surgical Hospital,3200.00,"Tuesday, Friday",05:00 PM - 08:00 PM
10540,Kings Hospital Colombo,3200.00,"Monday, Thursday",06:00 PM - 08:30 PM
13870,Asiri Hospital Galle,2400.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
13870,Ruhunu Hospital,2400.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
8120,Asiri Medical Hospital,3500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
8120,Ninewells Hospital,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
8120,Lanka Hospitals,3500.00,Saturday,09:00 AM - 01:00 PM
13410,Ceymed Healthcare Services Nugegoda,2500.00,"Monday, Wednesday",05:30 PM - 08:30 PM
13410,Ninewells Hospital,2800.00,"Tuesday, Friday",05:00 PM - 08:00 PM
9760,Ninewells Hospital,3200.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
9760,Kings Hospital Colombo,3200.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
12870,Ninewells Hospital,3500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
12870,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
12870,Asiri Medical Hospital,3500.00,Saturday,09:00 AM - 12:00 PM
14320,Ninewells Hospital,3500.00,"Tuesday, Thursday, Saturday",04:30 PM - 07:30 PM
14320,Nawaloka Premier Center,3800.00,"Monday, Friday",05:30 PM - 08:30 PM
15210,Asiri Central Hospital,3000.00,"Monday, Wednesday",05:00 PM - 08:00 PM
15210,Lanka Hospitals,3000.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
15210,Durdans Hospital,3000.00,Saturday,09:00 AM - 12:00 PM
17430,Nawaloka Hospital Colombo,2800.00,"Monday, Thursday",05:00 PM - 08:00 PM
17430,Kings Hospital Colombo,2800.00,"Wednesday, Saturday",06:00 PM - 08:30 PM
13980,Ninewells Hospital,2800.00,"Tuesday, Friday",05:00 PM - 08:00 PM
13980,Ceymed Healthcare Services Nugegoda,2500.00,"Monday, Thursday",06:00 PM - 08:30 PM
11540,Asiri Medical Hospital,2800.00,"Monday, Wednesday",05:30 PM - 08:30 PM
11540,Hemas Hospital Thalawathugoda,2500.00,"Thursday, Saturday",06:00 PM - 09:00 PM
9230,Durdans Hospital,3500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
9230,Nawaloka Premier Center,3800.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
16210,Durdans Hospital,3000.00,"Monday, Wednesday",05:00 PM - 08:00 PM
16210,Lanka Hospitals,3200.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
16210,CDEM Hospital,2800.00,Saturday,09:00 AM - 12:00 PM
8790,Asiri Central Hospital,3500.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
8790,Nawaloka Hospital Colombo,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
17540,Kings Hospital Colombo,2800.00,"Monday, Thursday",06:00 PM - 09:00 PM
17540,Hemas Hospital Thalawathugoda,2600.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
10670,Lanka Hospitals,3200.00,"Tuesday, Friday",05:00 PM - 08:00 PM
10670,Durdans Hospital,3200.00,"Monday, Thursday",05:30 PM - 08:30 PM
14870,Asiri Hospital Galle,2500.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
14870,Ruhunu Hospital,2500.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
13890,Asiri Medical Hospital,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
13890,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
13890,Western Hospital,3000.00,Saturday,09:00 AM - 12:00 PM
9340,Durdans Hospital,3500.00,"Monday, Wednesday",04:30 PM - 07:30 PM
9340,Lanka Hospitals,3500.00,"Tuesday, Friday",05:00 PM - 08:00 PM
9340,Western Hospital,3000.00,Sunday,10:00 AM - 01:00 PM
16710,Ceymed Healthcare Services Nugegoda,2800.00,"Monday, Thursday",05:30 PM - 08:30 PM
16710,Asiri Central Hospital,3200.00,"Wednesday, Saturday",05:00 PM - 08:00 PM
11230,Lanka Hospitals,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
11230,Kings Hospital Colombo,3200.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
11230,Western Hospital,3000.00,Saturday,09:00 AM - 12:00 PM
18450,Asiri Medical Hospital,2800.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
18450,Ninewells Hospital,3000.00,"Monday, Friday",05:30 PM - 08:30 PM
12980,Asiri Surgical Hospital,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
12980,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
12980,Kings Hospital Colombo,3200.00,Saturday,09:00 AM - 12:00 PM
8650,Asiri Central Hospital,4000.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
8650,Durdans Hospital,4000.00,"Tuesday, Thursday",04:30 PM - 07:30 PM
8650,Nawaloka Hospital Colombo,4000.00,Saturday,09:00 AM - 01:00 PM
15420,Lanka Hospitals,3200.00,"Monday, Thursday",05:00 PM - 08:00 PM
15420,Hemas Hospital Thalawathugoda,2800.00,"Wednesday, Saturday",06:00 PM - 09:00 PM
17890,Asiri Hospital Kandy,2800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
17890,Suwasevana Hospital Kandy,2800.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
14250,Singhe Hospital,2400.00,"Monday, Wednesday",05:00 PM - 08:00 PM
14250,Nawaloka Hospital Colombo,3000.00,"Friday, Saturday",05:30 PM - 08:30 PM
15870,CDEM Hospital,3000.00,"Monday, Wednesday",04:30 PM - 07:30 PM
15870,Lanka Hospitals,3200.00,"Tuesday, Friday",05:00 PM - 08:00 PM
15870,Asiri Central Hospital,3200.00,Saturday,09:00 AM - 12:00 PM
8430,Durdans Hospital,3500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
8430,Nawaloka Hospital Colombo,3500.00,"Tuesday, Thursday",04:30 PM - 07:30 PM
16320,Kings Hospital Colombo,2800.00,"Monday, Thursday",06:00 PM - 09:00 PM
16320,Hemas Hospital Wattala,2600.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
12470,Lanka Hospitals,3200.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
12470,Asiri Surgical Hospital,3200.00,"Monday, Friday",05:30 PM - 08:30 PM
17210,Asiri Hospital Kandy,2800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
17210,Suwasevana Hospital Kandy,2800.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
