Specialty_Name,Description,Associated_Diseases,Primary_Symptoms
Ophthalmology,"Specialty dealing with the anatomy, physiology, and diseases of the eyeball and orbit.","Cataract; Primary Open-Angle Glaucoma; Acute Angle-Closure Glaucoma; Age-Related Macular Degeneration; Diabetic Retinopathy; Retinal Detachment; Bacterial Conjunctivitis; Dry Eye Disease; Pterygium; Anterior Uveitis","Painless Vision Blurring; Severe Ocular Pain with Halos; Central Scotoma; Flashing Lights and Floaters; Ocular Grittiness"
Orthopaedic Surgery,"Surgical specialty focused on the musculoskeletal system including bones, joints, and ligaments.","Anterior Cruciate Ligament Tear; Meniscal Tear; Rotator Cuff Tear; Carpal Tunnel Syndrome; Frozen Shoulder; Plantar Fasciitis; Achilles Tendon Rupture; Femoral Neck Fracture; Scoliosis; Trigger Finger","Audible Pop with Knee Swelling; Nocturnal Hand Paresthesias; Heel Pain on First Morning Steps; Loss of Active Shoulder Abduction; Snapping Digit"
Otolaryngology (ENT),"Specialty dealing with ear, nose, and throat disorders, head, and neck.","Chronic Suppurative Otitis Media; Allergic Rhinitis; Chronic Sinusitis; Menieres Disease; Benign Paroxysmal Positional Vertigo; Tonsillitis; Laryngitis; Otitis Externa; Epistaxis; Vocal Cord Nodules","Chronic Otorrhea; Paroxysmal Sneezing; True Episodic Vertigo; Severe Sore Throat with Exudate; Persistent Hoarseness"
Paediatrics,"Specialty focusing on medical care of infants, children, and adolescents.","Bronchiolitis; Febrile Seizures; Croup; Hand Foot and Mouth Disease; Neonatal Jaundice; Kawasaki Disease; Acute Gastroenteritis in Children; Measles; Chickenpox; Mumps","Tachypnea and Chest Indrawing; Barking Cough; Vesicular Palmar Lesions; Strawberry Tongue; Koplik Spots"
Paediatric Cardiology,"Specialty focused on congenital and acquired heart conditions in children.","Ventricular Septal Defect; Atrial Septal Defect; Patent Ductus Arteriosus; Tetralogy of Fallot; Coarctation of the Aorta; Transposition of the Great Arteries; Rheumatic Heart Disease Paediatric; Kawasaki Coronary Aneurysm; Congenital Complete Heart Block; Hypoplastic Left Heart Syndrome","Holosystolic Murmur; Central Cyanosis in Infancy; Radio-femoral Pulse Delay; Machinery Continuous Murmur; Poor Weight Gain"
Paediatric Surgery,"Surgical care specialized for infants, children, and adolescents.","Congenital Hypertrophic Pyloric Stenosis; Intussusception; Hirschsprung Disease; Congenital Diaphragmatic Hernia; Undescended Testis; Congenital Hydrocele; Omphalocele; Gastroschisis; Biliary Atresia; Tracheoesophageal Fistula","Projectile Non-Bilious Vomiting; Red Currant Jelly Stool; Delayed Meconium Passage; Scaphoid Abdomen; Acolic Pale Stool"
Psychiatry,"Specialty dedicated to the diagnosis, prevention, and treatment of mental disorders.","Major Depressive Disorder; Generalized Anxiety Disorder; Bipolar I Disorder; Schizophrenia; Panic Disorder; Obsessive-Compulsive Disorder; Post-Traumatic Stress Disorder; Anorexia Nervosa; Bulimia Nervosa; Insomnia Disorder","Persistent Depressed Mood; Auditory Hallucinations; Flight of Ideas; Intrusive Obsessions; Severe Weight Loss with Body Distortion"
Pulmonology (Respiratory Medicine),"Specialty dealing with diseases of the respiratory tract and lungs.","Bronchial Asthma; Chronic Obstructive Pulmonary Disease; Community-Acquired Pneumonia; Pulmonary Tuberculosis; Bronchiectasis; Idiopathic Pulmonary Fibrosis; Obstructive Sleep Apnea; Pleural Effusion; Pneumothorax; Sarcoidosis; Bronchogenic Carcinoma","Wheezing; Productive Cough with Purulent Sputum; Drenching Night Sweats; Copious Foul Sputum; Loud Snoring with Apneic Spells"
Rheumatology,"Specialty dealing with autoimmune diseases and musculoskeletal disorders.","Rheumatoid Arthritis; Osteoarthritis; Systemic Lupus Erythematosus; Ankylosing Spondylitis; Gout; Pseudogout; Sjogren Syndrome; Systemic Sclerosis; Polymyalgia Rheumatica; Fibromyalgia","Symmetric Small Joint Morning Stiffness; Malar Butterfly Rash; Podagra First MTP Joint; Keratoconjunctivitis Sicca; Raynaud Phenomenon"
Urology,"Specialty focusing on the urinary tract system and male reproductive system.","Benign Prostatic Hyperplasia; Prostate Cancer; Urolithiasis; Bladder Cancer; Erectile Dysfunction; Varicocele; Testicular Torsion; Hydrocele; Urethral Stricture; Overactive Bladder","Urinary Hesitancy with Weak Stream; Severe Loin-to-Groin Colic; Painless Gross Hematuria; Sudden Severe Testicular Pain; Urinary Urgency"
Nephrology,"Specialty dealing with kidney diseases and renal replacement therapies.","Chronic Kidney Disease; End-Stage Renal Disease; Acute Kidney Injury; Nephrotic Syndrome; Nephritic Syndrome; Polycystic Kidney Disease; Diabetic Nephropathy; Lupus Nephritis; IgA Nephropathy; Renal Tubular Acidosis","Oliguria; Massive Proteinuria with Frothy Urine; Cola-Colored Urine; Bilateral Flank Masses; Uremic Pruritus"
Hematology,"Specialty covering disorders of blood, bone marrow, and lymphatic systems.","Iron Deficiency Anemia; Thalassemia Major; Thalassemia Trait; Aplastic Anemia; Immune Thrombocytopenia; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Chronic Myeloid Leukemia; Hodgkin Lymphoma; Non-Hodgkin Lymphoma","Pallor and Spoon Nails; Chipmunk Facies in Infancy; Petechiae and Gingival Bleeding; Massive Splenomegaly; Painless Cervical Adenopathy"
Infectious Diseases,"Specialty dealing with diagnosis and management of infectious illnesses and tropical diseases.","Dengue Fever; Dengue Hemorrhagic Fever; Leptospirosis; Malaria; Typhoid Fever; Rabies; Infectious Mononucleosis; Varicella Pneumonia; Toxoplasmosis; Melioidosis","Retro-orbital Headache with Myalgia; Plasma Leakage with Thrombocytopenia; Conjunctival Suffusion with Calf Pain; Paroxysmal Shivering Chills; Hydrophobia"
Vascular Surgery,"Surgical specialty dealing with vascular system disorders of arteries, veins, and lymphatic circulation.","Peripheral Arterial Disease; Critical Limb Ischemia; Abdominal Aortic Aneurysm; Varicose Veins; Chronic Venous Insufficiency; Carotid Artery Stenosis; Acute Arterial Occlusion; Thoracic Outlet Syndrome; Arteriovenous Fistula Complications; Superficial Thrombophlebitis","Intermittent Calf Claudication; Rest Pain Relieved by Dangling Foot; Tortuous Dilated Leg Veins; Medial Malleolar Stasis Ulcer; Six Ps of Acute Ischemia"
Plastic and Reconstructive Surgery,"Specialty involving restoration, reconstruction, or alteration of the human body.","Burns and Post-Burn Contractures; Cleft Lip and Palate; Decubitus Pressure Ulcers; Keloid Scarring; Hypertrophic Scarring; Complex Facial Trauma; Post-Mastectomy Breast Reconstruction; Diabetic Foot Ulcer Reconstruction; Microtia; Gynecomastia","Scar Contracture Limiting Joint Mobility; Cleft in Upper Lip and Palate; Full-Thickness Pressure Slough; Exuberant Pruritic Keloid; Subareolar Glandular Mass"
Clinical Nutrition,"Specialty dealing with nutritional assessment, dietary management, and metabolic support.","Severe Acute Malnutrition; Morbid Obesity; Sarcopenia; Refeeding Syndrome; Wernicke Encephalopathy; Pellagra; Scurvy; Short Bowel Syndrome; Hypertriglyceridemia Pancreatitis; Folate Deficiency Anemia","Bilateral Pitting Edema in Marasmus; Loss of Handgrip Strength; Casal Necklace Dermatitis; Corkscrew Hairs with Perifollicular Bleeding; Encephalopathic Confusion"
Geriatric Medicine,"Specialty focused on health care and disease management in elderly patients.","Frailty Syndrome; Vascular Dementia; Polypharmacy Complications; Recurrent Falls in Elderly; Geriatric Urinary Incontinence; Elder Delirium; Senile Osteoporosis; Geriatric Depression; Pressure Injury in Bedridden; Orthostatic Hypotension in Seniors","Unintentional Sarcopenic Weight Loss; Stepwise Cognitive Decline; Postural Drop >20mmHg; Acute Fluctuating Attention; Vertebral Compression Kyphosis"
Immunology and Allergy,"Specialty dealing with immune system malfunctions, allergies, and hypersensitivities.","Anaphylaxis; Common Variable Immunodeficiency; Hereditary Angioedema; DRESS Syndrome; Severe Food Allergy; Allergic Bronchopulmonary Aspergillosis; Stevens-Johnson Syndrome; Toxic Epidermal Necrolysis; Mast Cell Activation Syndrome; Chronic Spontaneous Urticaria","Laryngeal Stridor with Wheezing; Non-Pruritic Angioedema without Hives; Target Skin Lesions with Mucosal Slough; Eosinophilia with Facial Edema; Refractory Wheezing with Mucus Plugs"
Physical Medicine and Rehabilitation,"Specialty focusing on restoring function lost due to injury or illness.","Post-Stroke Hemiplegia Rehabilitation; Traumatic Spinal Cord Injury; Traumatic Brain Injury; Cerebral Palsy; Phantom Limb Syndrome; Cervicogenic Headache; Chronic Facet Arthropathy; Post-Polio Syndrome; Spasticity in Multiple Sclerosis; Adhesive Capsulitis Rehabilitation","Spastic Hemiparesis; Neurogenic Bladder; Circumductory Gait; Shooting Electric Stump Sensations; Restricted Cervical Mobility"
Venereology (Sexual Health),"Specialty dealing with sexually transmitted infections and reproductive tract infections.","Primary and Secondary Syphilis; Gonorrhea; Chlamydia Trachomatis; Genital Herpes Simplex; Anogenital Warts; Trichomoniasis; Bacterial Vaginosis; Non-Gonococcal Urethritis; Lymphogranuloma Venereum; HIV Early Symptomatic Infection","Painless Indurated Genital Chancre; Profuse Purulent Urethral Discharge; Clustered Painful Vesicles; Cauliflower Perianal Warts; Fishy Gray Vaginal Discharge"
